,Datetime,Region,Technology,Tech category,Value
452,2038,reg1,SFF_PP,Conversion,0.0
453,2039,reg1,SFF_PP,Conversion,0.0
454,2040,reg1,SFF_PP,Conversion,0.0
455,2041,reg1,SFF_PP,Conversion,0.0
456,2042,reg1,SFF_PP,Conversion,0.0
457,2043,reg1,SFF_PP,Conversion,0.0
458,2044,reg1,SFF_PP,Conversion,0.0
459,2045,reg1,SFF_PP,Conversion,0.0
460,2046,reg1,SFF_PP,Conversion,0.0
461,2047,reg1,SFF_PP,Conversion,0.0
462,2048,reg1,SFF_PP,Conversion,0.0
463,2049,reg1,SFF_PP,Conversion,0.0
464,2050,reg1,SFF_PP,Conversion,0.0
465,2020,reg1,Oil_PP,Conversion,0.0
466,2021,reg1,Oil_PP,Conversion,0.0
467,2022,reg1,Oil_PP,Conversion,0.0
468,2023,reg1,Oil_PP,Conversion,0.0
469,2024,reg1,Oil_PP,Conversion,0.0
470,2025,reg1,Oil_PP,Conversion,0.0
471,2026,reg1,Oil_PP,Conversion,0.0
472,2027,reg1,Oil_PP,Conversion,0.0
473,2028,reg1,Oil_PP,Conversion,0.0
474,2029,reg1,Oil_PP,Conversion,0.0
475,2030,reg1,Oil_PP,Conversion,1.238539526474582
476,2031,reg1,Oil_PP,Conversion,1.6666724585651265
477,2032,reg1,Oil_PP,Conversion,1.6666724585650834
478,2033,reg1,Oil_PP,Conversion,1.6666724585651544
479,2034,reg1,Oil_PP,Conversion,1.666672458565154
480,2035,reg1,Oil_PP,Conversion,1.6666724585650914
481,2036,reg1,Oil_PP,Conversion,1.5895519581890505
482,2037,reg1,Oil_PP,Conversion,1.5895519581891797
483,2038,reg1,Oil_PP,Conversion,1.5895519581891864
484,2039,reg1,Oil_PP,Conversion,1.5895519581890558
485,2040,reg1,Oil_PP,Conversion,0.6896820417545082
486,2041,reg1,Oil_PP,Conversion,0.7379821684609316
487,2042,reg1,Oil_PP,Conversion,1.0326930487949428
488,2043,reg1,Oil_PP,Conversion,1.032693048794954
489,2044,reg1,Oil_PP,Conversion,1.0326930487949615
490,2045,reg1,Oil_PP,Conversion,1.0326930487948953
491,2046,reg1,Oil_PP,Conversion,0.0
492,2047,reg1,Oil_PP,Conversion,0.0
493,2048,reg1,Oil_PP,Conversion,0.0
494,2049,reg1,Oil_PP,Conversion,0.0
495,2050,reg1,Oil_PP,Conversion,0.0
496,2020,reg1,NG_PP,Conversion,0.0
497,2021,reg1,NG_PP,Conversion,0.0
498,2022,reg1,NG_PP,Conversion,0.0
499,2023,reg1,NG_PP,Conversion,0.0
500,2024,reg1,NG_PP,Conversion,0.0
501,2025,reg1,NG_PP,Conversion,0.0
502,2026,reg1,NG_PP,Conversion,0.0
503,2027,reg1,NG_PP,Conversion,0.0
504,2028,reg1,NG_PP,Conversion,0.0
505,2029,reg1,NG_PP,Conversion,0.0
506,2030,reg1,NG_PP,Conversion,0.0
507,2031,reg1,NG_PP,Conversion,0.0
